APK Name,Eye,Head,Environment,Hand,Body,Face
222_抵抗VR_Resist_v1.0.197.197,0,15,6,79,11,7
223_拯救公司2汉化中文版_Floor_Plan_2_[1.0.2.7.125],11,21,29,174,51,2
225_挖掘机VR汉化版_重機でGo_[1.0],24,8,8,43,32,4
226_挖洞者2_CaveDigger2_v1.1.12.8.100497,6,16,52,104,26,6
227_挥动球拍_kanoid_v1.2.50,11,2,8,73,15,9
228_掉进兔子洞_Down_the_Rabbit_Hole_v01.03.430,42,14,21,106,17,1
229_搭便车_Hitchhiker_A_Mystery_Game_v1.0.94.42,21,1,7,64,28,15
230_摇曳露营_Laid-Back_Camp_Virtual_Lake_Motosu_v1.2.0.5,9,3,0,0,10,1
231_摇曳露营本栖湖篇_Laid-Back_Camp_Virtual_Lake_Motosu_[1.0.0.3],9,3,0,0,10,1
233_方块主义_cubism_v1.6.1.234,14,18,9,124,55,9
237_时间边缘_神秘博士汉化中文版_Doctor_Who_The_Edge_of_Time_[368],56,30,13,277,69,4
243_星际萨满_Star_Shaman_v13.0.1,11,3,14,130,19,2
244_暗影点汉化版_Shadow_Point_[1.1.43],51,35,16,96,2,6
245_暗影门矿山汉化版_Shadowgate_The_Mines_of_Mythrok_[0.0.31],17,5,14,75,36,23
247_最后一个工人_The_Last_Worker_v1.0.8.10000008,41,55,17,181,87,20
248_最后的迷宫_Last_Labyrinth_[1.02.34],21,32,15,72,85,19
249_月神_Luna_v8.8,16,12,6,76,16,2
252_极限虚空赛车汉化版_Void_Racer_Extreme_[1.21.121],0,6,10,9,13,0
254_枪械俱乐部汉化中文版_Gun_Club_[1.2.93.51.291],28,6,7,113,34,3
257_模拟婴儿_Baby_Hands_v2.3.24,0,0,0,0,0,0
258_模拟赛车驾驶_V-Speedway_1.1.0,0,6,0,13,3,0
259_模拟飞行2_Ultrawings_2_[1.0.15210335],57,5,42,204,44,1
260_模拟飞行vrmoo.cn_Ultrawings_[2.02.422],37,7,1,28,1,3
261_死亡地平线_Death_Horizon_Reloaded_[0.9.41.157],3,24,14,59,9,0
262_死亡效应2_汉化版_Dead_Effect_2_210517.1355,12,44,11,250,60,7
268_水果忍者2_Fruit_Ninja_2_v1.9.3.655090,12,14,14,175,25,1
