APK Name,Eye,Head,Environment,Hand,Body,Face
185_快乐厨房(5.6.x)_Cook-Out_1.13.213183_FNAL,3,22,37,76,40,3
187_急速攀岩Rock_to_Top_2.0.3_(CN)_FNAL(5.3.x),4,2,0,114,49,0
188_急速滑翔Rush_1.2.3_FNAL(5.3.x),18,16,25,172,30,0
189_恐怖大厅Dreadhalls_1.6.16_FNAL(5.3.x),75,11,67,61,12,0
190_恐怖逃生Cosmodread_1.0.0.14_FAVTX(5.3.x),69,17,29,51,25,1
193_愤怒的小鸟AR猪岛Angry_Birds_-_Isle_of_Pigs_3.3.179993_FNAL(5.3.x)(1),6,16,5,48,5,1
194_愤怒的小鸟AR猪岛Angry_Birds_-_Isle_of_Pigs_3.3.179993_FNAL(5.3.x),6,16,5,48,5,1
195_我们在家WeAreAtHome_1.0_VTX,6,9,11,5,0,0
196_我的世界Discovery_2.6.0.0_FNAL(5.3.x),62,14,6,11,3,1
197_战地行动Operation_Warcade_1.72_33_FAVTX(5.3.x),15,5,4,78,6,1
198_战斗团体BattleGroupVR_V37_FNAL,3,10,8,14,7,8
199_战斧传说Axegend_3.1.4_FNAL,2,27,0,150,23,10
200_战机大战Warplanes-WW1_Fighters_4.2.0.2_FNAL,15,12,7,49,21,1
201_战机大战Warplanes-WW1_Fighters_4.2.03,15,12,7,49,21,1
202_战机激战太平洋Warplanes-Battles_over_Pacific_1.3.0.7_FNAL(5.3.x),15,14,7,47,24,1
203_战机空战英豪Warplane_Air_war_hero_3.1.8_318_VTX(5.3.x),15,12,6,49,21,1
204_战痕：朋克吧！女孩Battlescar_1.0_VTX(5.3.x),109,17,6,39,110,0
205_战锤 40K：战斗姐妹BattleSisters_1.2.5_BattleSisters_1.2.5,9,31,7,169,48,9
207_打(5.6.x)_Beat_1.3.0_FNAL,0,0,0,2,0,0
208_扔水果VROlly_Power_Play_2.2_FNAL,26,15,5,113,18,5
209_扫黑追缉令Crime_Cracker_6_FNAL(5.3.x),0,11,0,32,1,0
210_抵抗Resist_1.0.184_184_FAVTX(5.3.x),0,15,6,79,11,7
212_拉面模拟器 一兰_IchiranVR_1.2.0,66,11,2,53,6,8
213_拍击Cybrix_0.9.21_FNAL(5.3.x),11,4,5,49,16,0
214_拳击俱乐部The_Fight_3.02_VTX(5.3.x),16,13,5,68,37,1
216_拳力方块Power_Punch_1.0.4_FNAL(5.3.x),0,8,23,57,3,16
217_拳力方块VR Sucker_Punch_1.19_FNAL,11,4,7,69,17,0
219_掘金者Cave_digger_riches_vr_v2.12_VTX(5.3.x),8,6,10,167,56,2
222_探索者：我的影子Seeker-My_Shadow_1.0.5.4_FNAL,0,5,0,63,4,0
223_摩登城迷案TheSecretOfRetropolis_0.6_VTX(5.3.x),14,23,5,105,53,0
224_敏捷模式Brisk_Square_0.878_FNAL,1,11,5,149,15,1
225_数字世界MathWorld_VR_1.0_VTX(5.3.x),0,7,0,77,6,0
226_数学世界MathWorld_VR_3.0,0,8,0,82,8,0
227_方块主义cubism_1.6.1_236_VTX(5.3.x),14,18,9,127,58,9
228_方寸幻境Reflection_0.0.4_FNAL,0,2,8,41,14,1
231_星球大战_绝地武士Star_Wars-JK_Outcast_JK_Academy_1.1.8_JKXRCompanion_1.0PicoEA,0,0,0,4,1,0
233_星穹Vault_of_Stars_23.01.30_FNAL,2,9,1,102,31,2
235_星际巫师Star_Shaman_22.5.0_FNAL(5.3.x),72,10,16,138,20,2
237_暗影之门：麦克洛克之矿Shadowgate-The_Mines_of_Mythrok_0.0.56_FNAL(5.3.x),13,3,18,68,34,21
239_暮光之城 阴阳魔界（有com文件夹）_The_Twilight_Zone_4707_FNAL,1,21,4,34,54,8
240_暴走投篮JUST_HOOPS_1.4.491_FNAL,124,45,39,94,24,3
242_曼尼·帕奎奧Manny_Boxing_VR_1.04_FNAL,1,18,3,28,7,2
243_最后的发条工The_Last_Clockwinder_1.25_FNAL_The_Last_Clockwinder_1.25_FNAL,-1,-1,-1,-1,-1,-1
244_最后的迷宫Last_Labyrinth_1.02_FNAL,72,29,5,26,77,9
245_未来战警(5.6.x)_xcop_1.43_FNAL,1,6,2,4,2,8
246_末世尸潮双重打击Drop_Dead_Dual_Strike_1.5.0_PICO_1.0.3_VTX(5.3.x),17,45,26,159,95,15
248_机械奇兵SweetSurrenderVR_1.791_VTX(5.3.x),2,1,18,55,14,1
249_机甲竞技Ultimechs_1.7.217597_FNAL,-1,-1,-1,-1,-1,-1
251_极速空战Shooty_Skies_Overdrive_1.20_VTX(5.3.x),63,11,2,16,1,6
